net1 v(D0), v(D1), v(D2), v(D3), v(D4), v(D5), v(D6), i(viout), v(v_out_final) 
 2.70823370e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 5.97126120e-06, 6.84764246e-01 
 2.07742606e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 6.96416550e-06, 6.84812707e-01 
 2.07712926e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 6.96424053e-06, 6.84812901e-01 
 1.46421804e-03, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71582240e-06, 6.84838567e-01 
 2.07600149e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 6.96425100e-06, 6.84812877e-01 
 1.46324468e-03, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71581624e-06, 6.84838574e-01 
 1.46295974e-03, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71581242e-06, 6.84838584e-01 
 8.63992999e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44945694e-06, 6.84863201e-01 
 2.07565197e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 6.96424804e-06, 6.84813420e-01 
 1.46312805e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71581655e-06, 6.84838519e-01 
 1.46346029e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71581456e-06, 6.84838509e-01 
 8.64934758e-04, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44938331e-06, 6.84863668e-01 
 1.46452244e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71581183e-06, 6.84838531e-01 
 8.65594050e-04, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44944257e-06, 6.84863095e-01 
 8.65401879e-04, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44935200e-06, 6.84864168e-01 
 2.43428569e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, -8.93077202e-06, 6.84875349e-01 
 2.07665619e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 6.96425533e-06, 6.84812753e-01 
 1.46376770e-03, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71582926e-06, 6.84838513e-01 
 1.46405689e-03, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71582696e-06, 6.84838517e-01 
 8.65385123e-04, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44948307e-06, 6.84863094e-01 
 1.46332512e-03, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71582063e-06, 6.84838582e-01 
 8.64467940e-04, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44946244e-06, 6.84863203e-01 
 8.64224646e-04, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44937649e-06, 6.84863761e-01 
 2.42788981e-04, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -8.93084945e-06, 6.84874837e-01 
 1.46237273e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -7.71582701e-06, 6.84839136e-01 
 8.63724096e-04, 1.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44944319e-06, 6.84864167e-01 
 8.63993896e-04, 0.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44937328e-06, 6.84864168e-01 
 2.42728127e-04, 1.00000000e+00, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -8.93084869e-06, 6.84874838e-01 
 8.64858948e-04, 0.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 8.44936081e-06, 6.84863762e-01 
 2.43110641e-04, 1.00000000e+00, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -8.93077735e-06, 6.84874845e-01 
 2.43374640e-04, 0.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -8.93077350e-06, 6.84874842e-01 
-1.03217273e-03, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, 1.00000000e+00, -9.58104550e-06, 6.84889616e-01 
